Number	Square Root
-------------------
1	1.0000
2	1.4142
3	1.7321
4	2.0000
5	2.2361
6	2.4495
7	2.6458
8	2.8284
9	3.0000
10	3.1623
11	3.3166
12	3.4641
13	3.6056
14	3.7417
15	3.8730
16	4.0000
17	4.1231
18	4.2426
19	4.3589
20	4.4721
21	4.5826
22	4.6904
23	4.7958
24	4.8990
25	5.0000
26	5.0990
27	5.1962
28	5.2915
29	5.3852
30	5.4772
31	5.5678
32	5.6569
33	5.7446
34	5.8310
35	5.9161
36	6.0000
37	6.0828
38	6.1644
39	6.2450
40	6.3246
41	6.4031
42	6.4807
43	6.5574
44	6.6332
45	6.7082
46	6.7823
47	6.8557
48	6.9282
49	7.0000
50	7.0711
51	7.1414
52	7.2111
53	7.2801
54	7.3485
55	7.4162
56	7.4833
57	7.5498
58	7.6158
59	7.6811
60	7.7460
61	7.8102
62	7.8740
63	7.9373
64	8.0000
65	8.0623
66	8.1240
67	8.1854
68	8.2462
69	8.3066
70	8.3666
71	8.4261
72	8.4853
73	8.5440
74	8.6023
75	8.6603
76	8.7178
77	8.7750
78	8.8318
79	8.8882
80	8.9443
81	9.0000
82	9.0554
83	9.1104
84	9.1652
85	9.2195
86	9.2736
87	9.3274
88	9.3808
89	9.4340
90	9.4868
91	9.5394
92	9.5917
93	9.6437
94	9.6954
95	9.7468
96	9.7980
97	9.8489
98	9.8995
99	9.9499
100	10.0000
